experiment	formula	composite_score	band_gap_eV	density	formation_energy	checks	applications	novel	description
1	BaTiO3	0.7061	3.69	6.01	-1.88	5/5	transparent_conductor,superconductor_candidate	unknown	Baseline perovskite. Wide band gap, not suitable for solar.
2	CsSnI3	0.7979	2.18	4.38	-1.54	4.5/5	LED	unknown	Lead-free halide perovskite. Band gap still too high for solar.
3	CaZrSe3	0.891	1.46	3.67	-1.38	4.5/5	solar_cell,catalyst	unknown	Selenide perovskite. Near-perfect solar band gap 1.46 eV. Novel composition.
4	Fe2SnO4	0.9331	1.42	6.6	-1.1	5/5	solar_cell,catalyst	unknown	Spinel oxide. Near-ideal solar band gap 1.42 eV. All checks pass.
5	Co2SnO4	0.9295	1.32	6.86	-1.08	5/5	solar_cell,catalyst	unknown	Cobalt tin spinel. Solar band gap but slightly low at 1.32 eV.
6	CuSnO3	0.999	1.44	5.55	-1.37	5/5	solar_cell,catalyst,superconductor_candidate	unknown	NEAR-PERFECT. Copper tin perovskite. 3 applications, ideal solar band gap.
7	CuGeO3	0.999	1.44	4.96	-1.37	5/5	solar_cell,catalyst,superconductor_candidate	unknown	Same score as CuSnO3. Ge variant, lighter density.
8	Cu2SnGeO6	0.9915	1.52	5.99	-1.17	5/5	solar_cell,catalyst,superconductor_candidate	unknown	Quaternary 4-element oxide. 3 apps, slightly higher band gap.
9	Bi2Te3	0.4904	0.0	13.38	-0.24	4.5/5	none	unknown	Classic thermoelectric but model scores metallic (en_diff too small).
10	CuWO3	0.999	1.44	8.6	-1.37	5/5	solar_cell,catalyst,superconductor_candidate	unknown	Tungsten bronze perovskite. Third 0.999 scorer. Novel composition.
